field,value,count,percentage
New Regions,North Meseta,453,10.05549
New Regions,Ebro Valley,428,9.50055
New Regions,South Meseta,410,9.101
New Regions,Atlantic Façade,349,7.74695
New Regions,Valencian Coast,348,7.72475
New Regions,Strait of Gibraltar,341,7.56937
New Regions,Coastal Tarraconensis,333,7.39179
New Regions,Greater Emerita,328,7.2808
New Regions,Hispalis,319,7.08102
New Regions,Carthaginensis Coast,279,6.19312
New Regions,Upper Guadalquivir,251,5.57159
New Regions,Middle Guadalquivir,220,4.88346
New Regions,Northern Façade,204,4.5283
New Regions,South Lusitania,137,3.04107
New Regions,Balearics,67,1.48724
New Regions,Carthaginensis coast,29,0.64373
New Regions,Tarraconensis Coast,5,0.11099
New Regions,Northern Coast,2,0.0444
New Regions,Northern façade,1,0.0222
New Regions,Tarraconensis coast,1,0.0222
